age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,income,Continent
82,Private,132870,hs_grad,9,Widowed,white_collar,Not-in-family,White,Female,0,4356,18,<=50K,North America
54,Private,140359,HS_dropout,4,Divorced,labor,Unmarried,White,Female,0,3900,40,<=50K,North America
41,Private,264663,college_dropout,10,Separated,professional,Own-child,White,Female,0,3900,40,<=50K,North America
34,Private,216864,hs_grad,9,Divorced,service,Unmarried,White,Female,0,3770,45,<=50K,North America
38,Private,150601,HS_dropout,6,Separated,clerical,Unmarried,White,Male,0,3770,40,<=50K,North America
74,State-gov,88638,PhD,16,Never-married,professional,Other-relative,White,Female,0,3683,20,>50K,North America
68,Federal-gov,422013,hs_grad,9,Divorced,professional,Not-in-family,White,Female,0,3683,40,<=50K,North America
45,Private,172274,PhD,16,Divorced,professional,Unmarried,Black,Female,0,3004,35,>50K,North America
38,Self-emp-not-inc,164526,prof_school,15,Never-married,professional,Not-in-family,White,Male,0,2824,45,>50K,North America
52,Private,129177,bachelor,13,Widowed,service,Not-in-family,White,Female,0,2824,20,>50K,North America
32,Private,136204,masters,14,Separated,white_collar,Not-in-family,White,Male,0,2824,55,>50K,North America
46,Private,45363,prof_school,15,Divorced,professional,Not-in-family,White,Male,0,2824,40,>50K,North America
45,Private,172822,HS_dropout,7,Divorced,labor,Not-in-family,White,Male,0,2824,76,>50K,North America
57,Private,317847,masters,14,Divorced,white_collar,Not-in-family,White,Male,0,2824,50,>50K,North America
34,Private,203034,bachelor,13,Separated,white_collar,Not-in-family,White,Male,0,2824,50,>50K,North America
37,Private,188774,bachelor,13,Never-married,white_collar,Not-in-family,White,Male,0,2824,40,>50K,North America
29,Private,77009,HS_dropout,7,Separated,white_collar,Not-in-family,White,Female,0,2754,42,<=50K,North America
61,Private,29059,hs_grad,9,Divorced,white_collar,Unmarried,White,Female,0,2754,25,<=50K,North America
51,Private,153870,college_dropout,10,Married-civ-spouse,labor,Husband,White,Male,0,2603,40,<=50K,North America
21,Private,34310,associate,11,Married-civ-spouse,blue_collar,Husband,White,Male,0,2603,40,<=50K,North America
33,Private,228696,HS_dropout,2,Married-civ-spouse,blue_collar,Not-in-family,White,Male,0,2603,32,<=50K,North America
49,Private,122066,HS_dropout,3,Married-civ-spouse,service,Husband,White,Male,0,2603,40,<=50K,Europe
37,Self-emp-inc,107164,HS_dropout,6,Never-married,labor,Not-in-family,White,Male,0,2559,50,>50K,North America
38,Private,175360,HS_dropout,6,Never-married,professional,Not-in-family,White,Male,0,2559,90,>50K,North America
23,Private,44064,college_dropout,10,Separated,service,Not-in-family,White,Male,0,2559,40,>50K,North America
59,Self-emp-inc,107287,HS_dropout,6,Widowed,white_collar,Unmarried,White,Female,0,2559,50,>50K,North America
52,Private,198863,prof_school,15,Divorced,white_collar,Not-in-family,White,Male,0,2559,60,>50K,North America
51,Private,123011,bachelor,13,Divorced,white_collar,Not-in-family,White,Male,0,2559,50,>50K,North America
60,Self-emp-not-inc,205246,hs_grad,9,Never-married,white_collar,Not-in-family,Black,Male,0,2559,50,>50K,North America
63,Federal-gov,39181,PhD,16,Divorced,white_collar,Not-in-family,White,Female,0,2559,60,>50K,North America
53,Private,149650,hs_grad,9,Never-married,white_collar,Not-in-family,White,Male,0,2559,48,>50K,North America
51,Private,197163,prof_school,15,Never-married,professional,Not-in-family,White,Female,0,2559,50,>50K,North America
37,Self-emp-not-inc,137527,PhD,16,Never-married,professional,Not-in-family,White,Female,0,2559,60,>50K,North America
54,Private,161691,masters,14,Divorced,professional,Not-in-family,White,Female,0,2559,40,>50K,North America
44,Private,326232,bachelor,13,Divorced,white_collar,Unmarried,White,Male,0,2547,50,>50K,North America
43,Private,115806,masters,14,Divorced,white_collar,Unmarried,White,Female,0,2547,40,>50K,North America
51,Private,115066,college_dropout,10,Divorced,clerical,Unmarried,White,Female,0,2547,40,>50K,North America
43,Private,289669,masters,14,Divorced,professional,Unmarried,White,Female,0,2547,40,>50K,North America
48,Private,121253,bachelor,13,Married-spouse-absent,white_collar,Unmarried,White,Female,0,2472,70,>50K,North America
71,Private,110380,hs_grad,9,Married-civ-spouse,white_collar,Husband,White,Male,0,2467,52,<=50K,North America
73,Self-emp-not-inc,233882,hs_grad,9,Married-civ-spouse,labor,Husband,Asian-Pac-Islander,Male,0,2457,40,<=50K,Asia
40,Self-emp-not-inc,335549,prof_school,15,Never-married,professional,Not-in-family,White,Male,0,2444,45,>50K,North America
50,Private,237729,hs_grad,9,Widowed,white_collar,Not-in-family,White,Female,0,2444,72,>50K,North America
51,State-gov,68898,associate,11,Divorced,support,Not-in-family,White,Male,0,2444,39,>50K,North America
42,Private,107276,college_dropout,10,Never-married,white_collar,Not-in-family,White,Female,0,2444,40,>50K,North America
39,Private,141584,masters,14,Never-married,white_collar,Not-in-family,White,Male,0,2444,45,>50K,North America
32,Private,207668,bachelor,13,Never-married,white_collar,Other-relative,White,Male,0,2444,50,>50K,North America
53,Private,313243,college_dropout,10,Separated,blue_collar,Not-in-family,White,Male,0,2444,45,>50K,North America
40,Local-gov,147372,college_dropout,10,Never-married,service,Not-in-family,White,Male,0,2444,40,>50K,North America
38,Private,237608,bachelor,13,Never-married,white_collar,Not-in-family,White,Female,0,2444,45,>50K,North America
33,Private,194901,associate,11,Separated,blue_collar,Not-in-family,White,Male,0,2444,42,>50K,North America
43,Private,155106,associate,12,Divorced,blue_collar,Not-in-family,White,Male,0,2444,70,>50K,North America
50,Self-emp-inc,121441,HS_dropout,7,Never-married,white_collar,Other-relative,White,Male,0,2444,40,>50K,North America
44,Private,162028,college_dropout,10,Married-civ-spouse,clerical,Wife,White,Female,0,2415,6,>50K,North America
51,Self-emp-not-inc,160724,bachelor,13,Married-civ-spouse,white_collar,Husband,Asian-Pac-Islander,Male,0,2415,40,>50K,Asia
41,Private,132222,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,40,>50K,North America
37,Private,329980,masters,14,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,60,>50K,North America
55,Self-emp-inc,124137,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,35,>50K,Europe
39,Self-emp-inc,329980,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,60,>50K,North America
42,Self-emp-inc,187702,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,60,>50K,North America
49,Private,199029,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,55,>50K,North America
47,Self-emp-not-inc,145290,hs_grad,9,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,50,>50K,North America
41,Local-gov,297248,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,45,>50K,North America
55,Self-emp-inc,227856,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,50,>50K,North America
39,Private,179731,masters,14,Married-civ-spouse,white_collar,Wife,White,Female,0,2415,65,>50K,North America
42,Private,154374,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,60,>50K,North America
46,Private,326857,masters,14,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,65,>50K,North America
40,Private,160369,masters,14,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,45,>50K,North America
32,Private,396745,bachelor,13,Married-civ-spouse,professional,Husband,White,Male,0,2415,48,>50K,North America
41,Self-emp-inc,151089,college_dropout,10,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,55,>50K,North America
60,Self-emp-inc,336188,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,80,>50K,North America
31,Private,279015,masters,14,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,70,>50K,Asia
58,Self-emp-not-inc,43221,college_dropout,10,Married-civ-spouse,labor,Husband,White,Male,0,2415,40,>50K,North America
37,Self-emp-inc,30529,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,50,>50K,North America
44,Self-emp-not-inc,201742,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,50,>50K,North America
55,Self-emp-inc,298449,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,50,>50K,North America
44,Self-emp-inc,191712,masters,14,Married-civ-spouse,professional,Husband,White,Male,0,2415,55,>50K,North America
39,Private,198654,prof_school,15,Married-civ-spouse,professional,Husband,Asian-Pac-Islander,Male,0,2415,67,>50K,Asia
46,Self-emp-not-inc,102308,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,40,>50K,North America
39,Private,348521,college_dropout,10,Married-civ-spouse,labor,Husband,White,Male,0,2415,99,>50K,North America
62,Self-emp-inc,56248,bachelor,13,Married-civ-spouse,labor,Husband,White,Male,0,2415,60,>50K,North America
31,Self-emp-not-inc,252752,hs_grad,9,Married-civ-spouse,service,Wife,White,Female,0,2415,40,>50K,North America
46,Private,192963,bachelor,13,Married-civ-spouse,clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,>50K,Asia
46,Self-emp-not-inc,198759,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,80,>50K,North America
39,Self-emp-inc,143123,associate,11,Married-civ-spouse,blue_collar,Husband,White,Male,0,2415,40,>50K,North America
39,Private,237713,prof_school,15,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,99,>50K,North America
59,Private,81929,PhD,16,Married-civ-spouse,professional,Husband,White,Male,0,2415,45,>50K,North America
50,Self-emp-inc,167793,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,60,>50K,North America
46,Private,456062,PhD,16,Married-civ-spouse,professional,Husband,White,Male,0,2415,55,>50K,North America
53,Self-emp-not-inc,105478,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,40,>50K,North America
50,Self-emp-not-inc,42402,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,30,>50K,North America
41,Self-emp-inc,114580,prof_school,15,Married-civ-spouse,white_collar,Wife,White,Female,0,2415,55,>50K,North America
36,Private,346478,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,45,>50K,North America
38,Private,187870,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,90,>50K,North America
54,Private,35576,college_dropout,10,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,50,>50K,North America
50,Private,102346,bachelor,13,Married-civ-spouse,white_collar,Wife,White,Female,0,2415,20,>50K,North America
47,Private,148995,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2415,60,>50K,North America
47,Self-emp-inc,102308,prof_school,15,Married-civ-spouse,professional,Husband,White,Male,0,2415,45,>50K,North America
67,Private,105252,bachelor,13,Widowed,white_collar,Not-in-family,White,Male,0,2392,40,>50K,North America
67,Self-emp-inc,106175,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2392,75,>50K,North America
72,Self-emp-not-inc,52138,PhD,16,Married-civ-spouse,professional,Husband,White,Male,0,2392,25,>50K,North America
46,Self-emp-inc,191978,masters,14,Married-civ-spouse,white_collar,Husband,White,Male,0,2392,50,>50K,North America
78,Self-emp-inc,188044,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2392,40,>50K,North America
71,Self-emp-inc,66624,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2392,60,>50K,North America
83,Self-emp-inc,153183,bachelor,13,Married-civ-spouse,white_collar,Husband,White,Male,0,2392,55,>50K,North America
68,Private,211287,masters,14,Married-civ-spouse,white_collar,Husband,White,Male,0,2392,40,>50K,North America
26,Private,181655,associate,11,Married-civ-spouse,clerical,Husband,White,Male,0,2377,45,<=50K,North America
68,State-gov,235882,PhD,16,Married-civ-spouse,professional,Husband,White,Male,0,2377,60,>50K,North America
49,Self-emp-inc,158685,hs_grad,9,Married-civ-spouse,clerical,Wife,White,Female,0,2377,40,>50K,North America
36,Private,370767,hs_grad,9,Married-civ-spouse,professional,Husband,White,Male,0,2377,60,<=50K,North America
70,Self-emp-not-inc,155141,bachelor,13,Married-civ-spouse,blue_collar,Husband,White,Male,0,2377,12,>50K,North America
27,Private,156516,college_dropout,10,Married-civ-spouse,clerical,Wife,Black,Female,0,2377,20,<=50K,North America
35,Local-gov,177305,college_dropout,10,Married-civ-spouse,white_collar,Husband,White,Male,0,2377,40,<=50K,North America
23,Private,162945,hs_grad,9,Married-civ-spouse,white_collar,Husband,White,Male,0,2377,40,<=50K,North America
81,Private,177408,hs_grad,9,Married-civ-spouse,white_collar,Husband,White,Male,0,2377,26,>50K,North America
66,Self-emp-not-inc,427422,PhD,16,Married-civ-spouse,white_collar,Husband,White,Male,0,2377,25,>50K,North America
71,Private,152307,hs_grad,9,Married-civ-spouse,white_collar,Husband,White,Male,0,2377,45,>50K,North America
