age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,income,Continent
46,Federal-gov,161337,college_dropout,10,Divorced,support,Not-in-family,White,Male,0,0,40,<=50K,North America
61,Private,243283,hs_grad,9,Married-civ-spouse,labor,Husband,White,Male,0,0,40,<=50K,North America
40,State-gov,182460,masters,14,Married-civ-spouse,professional,Wife,Asian-Pac-Islander,Female,0,0,38,>50K,Asia
43,Private,328570,college_dropout,10,Divorced,labor,Unmarried,Black,Female,0,0,38,<=50K,North America
40,Self-emp-inc,132222,hs_grad,9,Married-civ-spouse,white_collar,Husband,White,Male,0,0,40,<=50K,North America
20,Private,116666,college_dropout,10,Never-married,white_collar,Own-child,Asian-Pac-Islander,Male,0,0,8,<=50K,Asia
53,Private,263729,college_dropout,10,Separated,clerical,Not-in-family,White,Female,0,0,40,<=50K,North America
45,Private,168038,bachelor,13,Divorced,white_collar,Not-in-family,White,Male,0,0,60,>50K,North America
27,Private,271714,college_dropout,10,Never-married,service,Own-child,White,Female,0,0,30,<=50K,North America
25,Private,236977,hs_grad,9,Separated,blue_collar,Own-child,White,Male,0,0,40,<=50K,North America
90,Local-gov,153602,hs_grad,9,Married-civ-spouse,service,Husband,White,Male,6767,0,40,<=50K,North America
57,Private,141570,masters,14,Married-civ-spouse,white_collar,Husband,Black,Male,0,1977,40,>50K,North America
39,Private,101073,associate,12,Married-civ-spouse,white_collar,Husband,White,Male,0,0,24,<=50K,North America
35,Private,172186,college_dropout,10,Separated,blue_collar,Not-in-family,White,Male,0,0,40,<=50K,North America
47,Private,278322,college_dropout,10,Married-civ-spouse,professional,Husband,White,Male,7688,0,40,>50K,North America
23,Private,200207,hs_grad,9,Divorced,labor,Own-child,White,Male,0,0,44,<=50K,North America
46,Private,197332,masters,14,Married-civ-spouse,professional,Husband,White,Male,7688,0,46,>50K,North America
43,Private,174575,college_dropout,10,Divorced,clerical,Not-in-family,White,Male,0,0,45,<=50K,North America
21,Private,203003,HS_dropout,6,Married-civ-spouse,blue_collar,Husband,White,Male,0,0,40,<=50K,North America
19,Private,143857,college_dropout,10,Never-married,white_collar,Own-child,White,Female,0,0,35,<=50K,North America
33,Private,187560,associate,11,Married-civ-spouse,white_collar,Husband,White,Male,0,0,36,<=50K,North America
45,Private,102308,masters,14,Married-civ-spouse,white_collar,Husband,White,Male,15024,0,60,>50K,North America
46,Private,243190,hs_grad,9,Married-civ-spouse,clerical,Wife,White,Female,7688,0,40,>50K,North America
34,Private,110622,bachelor,13,Never-married,white_collar,Not-in-family,Asian-Pac-Islander,Female,0,0,40,<=50K,Asia
57,State-gov,250976,hs_grad,9,Married-civ-spouse,blue_collar,Husband,White,Male,0,0,40,<=50K,North America
39,Private,147258,HS_dropout,6,Married-civ-spouse,blue_collar,Husband,White,Male,0,0,40,<=50K,North America
24,Private,257500,hs_grad,9,Separated,labor,Own-child,Black,Female,0,0,40,<=50K,North America
37,Private,287031,college_dropout,10,Married-civ-spouse,blue_collar,Husband,White,Male,5178,0,75,>50K,North America
33,Private,251421,associate,12,Divorced,professional,Not-in-family,White,Male,0,0,50,<=50K,North America
